# rh_debias
,,point1,point2
TIMESTEP,time(day of year),MEAN(%),MEAN(%)
1980-01-01T00:00:00Z,240.0,58.813915,61.019924
1980-01-01T00:00:00Z,241.0,55.465168,58.252747
1980-01-01T00:00:00Z,242.0,54.72343,57.84086
1980-01-01T00:00:00Z,243.0,54.285538,56.893456
1980-01-01T00:00:00Z,244.0,51.881584,55.568268
1980-01-01T00:00:00Z,245.0,51.46754,55.482544
1980-01-01T00:00:00Z,246.0,50.55964,54.992012
1980-01-01T00:00:00Z,247.0,50.975414,54.470757
1980-01-01T00:00:00Z,248.0,58.631733,57.138447
1980-01-01T00:00:00Z,249.0,58.01082,59.65484
1980-01-01T00:00:00Z,250.0,57.321278,58.62506
1980-01-01T00:00:00Z,251.0,62.608063,58.966656
1980-01-01T00:00:00Z,252.0,62.39379,58.618866
1980-01-01T00:00:00Z,253.0,65.52372,65.7926
1980-01-01T00:00:00Z,254.0,75.76882,76.45458
1980-01-01T00:00:00Z,255.0,74.61371,70.94684
1980-01-01T00:00:00Z,256.0,70.58964,66.18325
1980-01-01T00:00:00Z,257.0,70.65232,66.03633
1980-01-01T00:00:00Z,258.0,72.20192,68.21301
1980-01-01T00:00:00Z,259.0,70.82008,71.05369
1980-01-01T00:00:00Z,260.0,68.116585,67.21242
1980-01-01T00:00:00Z,261.0,59.920723,62.027946
1980-01-01T00:00:00Z,262.0,67.64656,61.207687
1980-01-01T00:00:00Z,263.0,68.234505,62.03549
1980-01-01T00:00:00Z,264.0,63.60692,62.40848
1980-01-01T00:00:00Z,265.0,56.946064,58.67416
1980-01-01T00:00:00Z,266.0,53.930393,57.90033
1980-01-01T00:00:00Z,267.0,52.860096,55.364983
1980-01-01T00:00:00Z,268.0,52.377464,54.610535
1980-01-01T00:00:00Z,269.0,51.577877,56.870544
1980-01-01T00:00:00Z,270.0,57.2741,61.62646
1980-01-01T00:00:00Z,271.0,61.69463,57.806786
1980-01-01T00:00:00Z,272.0,54.88692,54.06558
1980-01-01T00:00:00Z,273.0,57.746365,50.154556
1980-01-01T00:00:00Z,274.0,54.475628,49.201893
1980-01-01T00:00:00Z,275.0,59.655815,60.343662
1980-01-01T00:00:00Z,276.0,62.26808,60.863667
1980-01-01T00:00:00Z,277.0,61.466564,60.426807
1980-01-01T00:00:00Z,278.0,57.41117,65.533516
1980-01-01T00:00:00Z,279.0,65.05607,65.89285
1980-01-01T00:00:00Z,280.0,68.293564,62.310955
1980-01-01T00:00:00Z,281.0,63.215187,64.744286
1980-01-01T00:00:00Z,282.0,66.53295,61.89086
1980-01-01T00:00:00Z,283.0,63.779114,60.228416
1980-01-01T00:00:00Z,284.0,75.2879,53.18367
1980-01-01T00:00:00Z,285.0,67.54033,58.648746
1980-01-01T00:00:00Z,286.0,62.250057,54.98097
1980-01-01T00:00:00Z,287.0,65.82763,65.20277
1980-01-01T00:00:00Z,288.0,67.72745,65.29874
1980-01-01T00:00:00Z,289.0,64.46681,62.636036
1980-01-01T00:00:00Z,290.0,61.83081,61.83173
1980-01-01T00:00:00Z,291.0,57.331726,59.069016
1980-01-01T00:00:00Z,292.0,61.771408,71.73802
1980-01-01T00:00:00Z,293.0,75.89346,75.06628
1980-01-01T00:00:00Z,294.0,71.63193,72.22985
1980-01-01T00:00:00Z,295.0,75.23765,74.65102
1980-01-01T00:00:00Z,296.0,68.39622,61.095253
1980-01-01T00:00:00Z,297.0,64.01534,62.4048
1980-01-01T00:00:00Z,298.0,75.12096,70.15876
1980-01-01T00:00:00Z,299.0,71.781425,60.952957
1980-01-01T00:00:00Z,300.0,75.843124,65.74639
1980-01-01T00:00:00Z,301.0,75.25688,73.476265
1980-01-01T00:00:00Z,302.0,77.82297,72.99239
1980-01-01T00:00:00Z,303.0,78.175095,77.43785
1980-01-01T00:00:00Z,304.0,76.399956,68.75761
1980-01-01T00:00:00Z,305.0,68.703064,70.84222
1980-01-01T00:00:00Z,306.0,77.9362,76.74099
1980-01-01T00:00:00Z,307.0,74.63255,66.47001
1980-01-01T00:00:00Z,308.0,55.5353,58.009605
1980-01-01T00:00:00Z,309.0,54.045105,60.63818
1980-01-01T00:00:00Z,310.0,67.25605,71.753784
1980-01-01T00:00:00Z,311.0,73.2023,77.91934
1980-01-01T00:00:00Z,312.0,78.74461,74.41093
1980-01-01T00:00:00Z,313.0,79.44647,78.40373
1980-01-01T00:00:00Z,314.0,72.34089,69.59151
1980-01-01T00:00:00Z,315.0,71.92422,71.45504
1980-01-01T00:00:00Z,316.0,78.244255,79.92497
1980-01-01T00:00:00Z,317.0,62.539627,60.92334
1980-01-01T00:00:00Z,318.0,50.70028,59.517048
1980-01-01T00:00:00Z,319.0,74.82107,75.833084
1980-01-01T00:00:00Z,320.0,79.14181,78.9489
1980-01-01T00:00:00Z,321.0,76.32276,75.61264
1980-01-01T00:00:00Z,322.0,65.34273,61.915863
1980-01-01T00:00:00Z,323.0,70.81337,60.33863
1980-01-01T00:00:00Z,324.0,54.691086,55.72052
1980-01-01T00:00:00Z,325.0,66.75817,64.95207
1980-01-01T00:00:00Z,326.0,52.166214,45.743744
1980-01-01T00:00:00Z,327.0,75.78294,77.47452
1980-01-01T00:00:00Z,328.0,78.47759,79.44125
1980-01-01T00:00:00Z,329.0,74.42492,78.62769
1980-01-01T00:00:00Z,330.0,72.9911,60.282486
1980-01-01T00:00:00Z,331.0,49.173737,52.776443
1980-01-01T00:00:00Z,332.0,56.27624,78.909744
1980-01-01T00:00:00Z,333.0,74.51101,70.12373
1980-01-01T00:00:00Z,334.0,73.88187,74.67753
1980-01-01T00:00:00Z,335.0,60.141125,53.89062
1980-01-01T00:00:00Z,336.0,52.062447,46.83565
1980-01-01T00:00:00Z,337.0,75.06818,71.560814
1980-01-01T00:00:00Z,338.0,72.182465,71.869736
1980-01-01T00:00:00Z,339.0,64.73505,62.859882
1980-01-01T00:00:00Z,340.0,65.675964,66.15356
1980-01-01T00:00:00Z,341.0,76.255455,78.87263
1980-01-01T00:00:00Z,342.0,66.90733,70.36441
1980-01-01T00:00:00Z,343.0,74.06937,71.96625
1980-01-01T00:00:00Z,344.0,69.41879,74.536064
1980-01-01T00:00:00Z,345.0,71.959175,73.41596
1980-01-01T00:00:00Z,346.0,69.26766,71.18928
1980-01-01T00:00:00Z,347.0,64.03658,68.63049
1980-01-01T00:00:00Z,348.0,66.82685,76.64135
1980-01-01T00:00:00Z,349.0,79.78035,80.64332
1980-01-01T00:00:00Z,350.0,79.30292,78.52636
1980-01-01T00:00:00Z,351.0,85.68002,81.21682
1980-01-01T00:00:00Z,352.0,75.57778,78.60588
1980-01-01T00:00:00Z,353.0,82.41821,74.109184
1980-01-01T00:00:00Z,354.0,65.863495,60.93773
1980-01-01T00:00:00Z,355.0,53.397774,64.29901
1980-01-01T00:00:00Z,356.0,79.566826,78.075134
1980-01-01T00:00:00Z,357.0,63.94185,55.301567
1980-01-01T00:00:00Z,358.0,57.056774,58.25903
1980-01-01T00:00:00Z,359.0,77.84726,76.104004
1980-01-01T00:00:00Z,360.0,89.43402,83.50169
1980-01-01T00:00:00Z,361.0,78.114975,81.49233
1980-01-01T00:00:00Z,362.0,66.504074,58.46181
1980-01-01T00:00:00Z,363.0,64.98203,53.502426
1980-01-01T00:00:00Z,364.0,68.83616,65.07384
